lat,long,date,tmin,tmax,prec,ws,rhmin,rhmax,site
52.17012,0.170257,1978-01-01,2.91526801252928,7.09925464039009,0,4.75613427293649,88.2118443885482,92.6090354289647,Beechwoods
52.17012,0.170257,1978-01-02,1.81439161979415,6.47761278833315,0,4.93575079885757,74.0139848804368,79.0139848804368,Beechwoods
52.17012,0.170257,1978-01-03,1.58408152341877,7.54965559455059,3.75746217929045,8.34998210176641,67.3975432863872,72.3975432863872,Beechwoods
52.17012,0.170257,1978-01-04,-2.34952064570132,2.75102981528016,0,3.16291093936357,78.1330693513372,82.200399301786,Beechwoods
52.17012,0.170257,1978-01-05,-2.16134220126435,5.99315715083679,1.45822493924868,4.88561886669527,79.1908292969227,84.1908292969227,Beechwoods
52.17012,0.170257,1978-01-06,4.06890038259257,7.33527198983387,0,4.49846185644636,88.4744228400617,92.6183483276117,Beechwoods
52.17012,0.170257,1978-01-07,0.953934818231687,5.16381149369221,0,3.41936000563303,83.8857017158751,88.148661654829,Beechwoods
52.17012,0.170257,1978-01-08,1.43688571947848,6.07943042040768,0,1.97680451628647,93.4445935264032,96.4533836498214,Beechwoods
52.17012,0.170257,1978-01-09,1.78857102542037,7.33051213396686,1.78939119231613,5.2819807656437,81.0927402275148,86.0927402275148,Beechwoods
52.17012,0.170257,1978-01-10,1.75452113735781,5.01826790668218,3.07156112196774,7.04263602233841,68.0219933055407,73.0219933055407,Beechwoods
52.17012,0.170257,1978-01-11,2.27386582124734,4.46669243863931,16.8939392955052,4.48687557194049,77.6932637462468,82.6932637462468,Beechwoods
52.17012,0.170257,1978-01-12,2.23239877110916,3.79886739251242,0.769016045768166,10.5603139478788,53.5646687154041,58.5646687154041,Beechwoods
52.17012,0.170257,1978-01-13,-0.945756206210092,5.18858227858414,0,3.23867230335866,68.3954646364221,73.3954646364221,Beechwoods
52.17012,0.170257,1978-01-14,3.36395084500612,5.84967334094637,0,2.95948773823269,87.0910626926298,94.0539129679529,Beechwoods
52.17012,0.170257,1978-01-15,2.6482224698629,5.83404515604849,0.55916414612115,2.08952654600916,87.2965581176385,89.026393817821,Beechwoods
52.17012,0.170257,1978-01-16,1.56707726676933,4.90146109085941,1.30593853336767,2.47261812083154,80.7995010795705,91.496340609624,Beechwoods
52.17012,0.170257,1978-01-17,-2.1201738908988,2.90836007115894,5.59784216624931,2.5636096025753,86.7334918993604,91.7334918993604,Beechwoods
52.17012,0.170257,1978-01-18,-4.16072732237467,0.116708825778687,0,2.41490557300093,82.3368643259608,93.7422003522731,Beechwoods
52.17012,0.170257,1978-01-19,-1.64713916803737,1.66544359681956,4.40995397103617,5.64819869632709,77.8087369114434,82.8087369114434,Beechwoods
52.17012,0.170257,1978-01-20,-1.48655566014111,4.26970053333059,0.632946994670177,4.12854306904645,85.1417494868508,91.9162430144861,Beechwoods
